Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,1.069443941116333,1.0347219705581665,1.069443941116333,1112400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,1.0729169845581055,1.055556058883667,1.069443941116333,889200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,1.0902780294418335,1.0729169845581055,1.076388955116272,1198800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,1.069443941116333,1.0659719705581665,1.069443941116333,1760400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,1.076388955116272,1.069443941116333,1.0729169845581055,100800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,1.076388955116272,1.069443941116333,1.076388955116272,644400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,1.0833330154418945,1.0729169845581055,1.0833330154418945,799200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,1.079861044883728,1.079861044883728,1.079861044883728,14400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,1.086806058883667,1.079861044883728,1.0833330154418945,57600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,1.0972219705581665,1.079861044883728,1.0902780294418335,597600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,1.09375,1.076388955116272,1.076388955116272,1087200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,1.076388955116272,1.0659719705581665,1.069443941116333,223200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,1.079861044883728,1.0729169845581055,1.076388955116272,169200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,1.0833330154418945,1.0659719705581665,1.069443941116333,806400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,1.076388955116272,1.0590280294418335,1.0625,450000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,1.055556058883667,1.045138955116272,1.045138955116272,266400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,1.038193941116333,1.013888955116272,1.013888955116272,1368000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,1.0034719705581665,0.9930559992790222,0.9965280294418335,601200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,1.006943941116333,0.9965280294418335,1.0034719705581665,1353600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,0.9965280294418335,0.9722219705581665,0.9791669845581055,3013200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,0.9791669845581055,0.9722219705581665,0.9722219705581665,244800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,0.9722219705581665,0.9652780294418335,0.9652780294418335,885600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,0.9722219705581665,0.9618059992790222,0.96875,1666800.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,0.9791669845581055,0.9618059992790222,0.9791669845581055,4852800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,1.0,0.9861109852790833,1.0,849600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,1.017361044883728,0.9930559992790222,1.013888955116272,4194000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,1.013888955116272,1.006943941116333,1.006943941116333,540000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,1.006943941116333,0.9965280294418335,1.0034719705581665,604800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,1.0104169845581055,1.0034719705581665,1.0034719705581665,93600.0,5872.701,5.3,128.0,8.24,3170.5
