Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1995-10-13,0.9876539707183838,0.9218109846115112,0.9218109846115112,6328631.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-16,0.9657059907913208,0.9218109846115112,0.9327849745750427,993263.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-17,0.9657059907913208,0.9218109846115112,0.9218109846115112,276792.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-18,0.9218109846115112,0.8559669852256775,0.8779150247573853,5322839.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-19,0.8998630046844482,0.8779150247573853,0.8888890147209167,1140202.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-20,0.9657059907913208,0.8779150247573853,0.9218109846115112,681159.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-23,0.9218109846115112,0.8998630046844482,0.9108369946479797,961369.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-24,0.943759024143219,0.8998630046844482,0.8998630046844482,419175.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-25,0.943759024143219,0.8998630046844482,0.8998630046844482,613955.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-26,0.943759024143219,0.8888890147209167,0.8888890147209167,199336.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-27,0.943759024143219,0.8888890147209167,0.8888890147209167,195919.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-30,0.943759024143219,0.8888890147209167,0.8888890147209167,60370.0,7772.586,5.5,153.5,5.76,3602.3
1995-10-31,0.943759024143219,0.8888890147209167,0.8888890147209167,367917.0,7772.586,5.5,153.5,5.76,3602.3
1995-11-01,0.8998630046844482,0.8888890147209167,0.8888890147209167,273375.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-02,0.8779150247573853,0.8779150247573853,0.8779150247573853,76317.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-03,0.8888890147209167,0.8779150247573853,0.8779150247573853,42145.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-06,0.943759024143219,0.8779150247573853,0.8779150247573853,205031.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-07,0.9657059907913208,0.8998630046844482,0.9657059907913208,1636833.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-08,0.9657059907913208,0.8998630046844482,0.9218109846115112,267680.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-09,0.9657059907913208,0.8998630046844482,0.8998630046844482,92264.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-10,0.9657059907913208,0.8998630046844482,0.8998630046844482,117323.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-13,0.9657059907913208,0.8998630046844482,0.9327849745750427,332606.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-14,0.9876539707183838,0.8998630046844482,0.943759024143219,1973995.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-15,0.9657059907913208,0.8779150247573853,0.8998630046844482,374752.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-16,0.9876539707183838,0.9218109846115112,0.943759024143219,1128811.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-17,0.9657059907913208,0.943759024143219,0.943759024143219,686855.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-20,0.943759024143219,0.8779150247573853,0.8779150247573853,424870.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-21,0.943759024143219,0.8779150247573853,0.943759024143219,34172.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-22,0.943759024143219,0.8779150247573853,0.943759024143219,31894.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-24,0.8779150247573853,0.8779150247573853,0.8779150247573853,31894.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-27,0.943759024143219,0.8779150247573853,0.943759024143219,56953.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-28,0.943759024143219,0.8779150247573853,0.943759024143219,34172.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-29,0.9218109846115112,0.8779150247573853,0.9218109846115112,324633.0,7772.586,5.6,153.7,5.8,3622.9
1995-11-30,0.9218109846115112,0.8779150247573853,0.8888890147209167,118463.0,7772.586,5.6,153.7,5.8,3622.9
1995-12-01,0.9218109846115112,0.8779150247573853,0.8779150247573853,101377.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-04,0.9218109846115112,0.8779150247573853,0.8779150247573853,74039.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-05,0.9218109846115112,0.8779150247573853,0.8779150247573853,115045.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-06,0.943759024143219,0.8779150247573853,0.9218109846115112,537638.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-07,0.9218109846115112,0.8779150247573853,0.9218109846115112,105933.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-08,0.9218109846115112,0.8779150247573853,0.8779150247573853,71761.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-11,0.9218109846115112,0.8779150247573853,0.8888890147209167,168581.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-12,0.9218109846115112,0.8888890147209167,0.9218109846115112,185667.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-13,0.9218109846115112,0.8779150247573853,0.9218109846115112,242620.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-14,0.9218109846115112,0.8998630046844482,0.8998630046844482,75178.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-15,0.9218109846115112,0.8888890147209167,0.9218109846115112,117323.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-18,0.9218109846115112,0.8998630046844482,0.9218109846115112,192502.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-19,0.9218109846115112,0.8779150247573853,0.8779150247573853,249455.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-20,0.9218109846115112,0.8779150247573853,0.8779150247573853,148078.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-21,0.9218109846115112,0.8779150247573853,0.9218109846115112,1835030.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-22,0.9218109846115112,0.8888890147209167,0.8998630046844482,239203.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-26,0.8998630046844482,0.8779150247573853,0.8779150247573853,76317.0,7772.586,5.6,153.9,5.6,3653.3
1995-12-27,0.9218109846115112,0.8779150247573853,0.9218109846115112,232369.0,7772.586,5.6,153.9,5.6,3653.3
