Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,12.28125,12.1875,12.28125,649600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,12.3125,12.09375,12.3125,1270800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,12.4375,12.25,12.34375,2768800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,12.375,11.75,12.0,1940800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,12.0,11.8125,11.9375,2252800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,12.0,11.78125,11.96875,1550000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,12.03125,11.71875,11.78125,1054400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,11.875,11.625,11.875,1570400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,12.03125,11.875,11.9375,1256000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,11.84375,11.625,11.65625,1736000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,11.65625,11.53125,11.59375,812800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,11.75,11.40625,11.65625,1498800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,11.78125,11.5625,11.65625,1479600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,11.875,11.5,11.84375,2308800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,12.125,11.84375,12.09375,1858400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,12.0625,11.6875,11.6875,1418000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,11.78125,11.34375,11.40625,1968800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,11.4375,10.875,11.34375,3626000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,11.4375,11.21875,11.3125,1343600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,11.40625,11.125,11.375,2506400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,11.375,11.125,11.28125,2147200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,11.5625,11.1875,11.5625,2534800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,11.875,11.625,11.8125,2231200.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,11.78125,11.625,11.71875,979200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,11.875,11.71875,11.78125,2199600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,11.78125,11.59375,11.75,2610400.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,11.75,11.59375,11.75,2115200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,12.4375,11.59375,12.34375,4554000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,12.34375,12.125,12.1875,3884800.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,12.15625,12.0,12.0625,2159600.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,12.21875,11.875,12.1875,2170000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,12.375,12.0625,12.34375,6024000.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,12.34375,12.15625,12.21875,1854400.0,5872.701,5.3,128.0,8.24,3170.5
