Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,6.5138750076293945,6.408812999725342,6.440330982208252,1044616.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,6.702988147735596,6.4298248291015625,6.702988147735596,1951220.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,6.702988147735596,6.566405773162842,6.608430862426758,2287924.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,6.597925186157227,6.534887790679932,6.576912879943848,1852469.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,6.576912879943848,6.503368854522705,6.576912879943848,1785842.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,6.618937969207764,6.545393943786621,6.608430862426758,1220702.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,6.597925186157227,6.545393943786621,6.545393943786621,1566924.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,6.534887790679932,6.408812999725342,6.4718499183654785,2262939.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,6.5138750076293945,6.450838088989258,6.503368854522705,979179.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,6.440330982208252,6.335268974304199,6.345775127410889,2271267.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,6.387800216674805,6.345775127410889,6.387800216674805,868531.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,6.482356071472168,6.335268974304199,6.482356071472168,3795360.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,6.545393943786621,6.303750038146973,6.377294063568115,3445568.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,6.503368854522705,6.366787910461426,6.482356071472168,2223676.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,6.524381160736084,6.461343765258789,6.461343765258789,1380131.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,6.492863178253174,6.366787910461426,6.377294063568115,2232005.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,6.4298248291015625,6.32476282119751,6.398305892944336,1388459.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,6.419319152832031,6.282738208770752,6.377294063568115,2372397.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,6.408812999725342,6.272231101989746,6.303750038146973,1702558.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,6.303750038146973,6.156662940979004,6.261724948883057,2406901.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,6.282738208770752,6.167169094085693,6.19868803024292,1731112.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,6.188180923461914,6.030588150024414,6.10413122177124,2177275.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,6.282738208770752,6.10413122177124,6.251218795776367,1978584.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,6.251218795776367,6.188180923461914,6.209194183349609,1664485.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,6.219699859619141,6.177674770355225,6.19868803024292,1930993.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-05,6.177674770355225,6.156662940979004,6.167169094085693,1328971.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-06,6.177674770355225,6.093625068664551,6.156662940979004,2038073.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-07,6.240713119506836,6.114637851715088,6.23020601272583,1771565.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-08,6.35628080368042,6.240713119506836,6.272231101989746,2329566.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-09,6.419319152832031,6.282738208770752,6.398305892944336,1465794.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-12,6.398305892944336,6.303750038146973,6.314256191253662,1182629.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-13,6.314256191253662,6.23020601272583,6.272231101989746,2722189.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-14,6.314256191253662,6.272231101989746,6.293243885040283,3151695.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-15,6.35628080368042,6.293243885040283,6.35628080368042,2735277.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-16,6.398305892944336,6.335268974304199,6.398305892944336,1729923.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-20,6.35628080368042,6.282738208770752,6.293243885040283,2377156.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-21,6.303750038146973,6.209194183349609,6.303750038146973,2559191.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-22,6.398305892944336,6.32476282119751,6.32476282119751,2279595.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-23,6.32476282119751,6.251218795776367,6.282738208770752,1909578.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-26,6.335268974304199,6.261724948883057,6.303750038146973,1632362.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-27,6.419319152832031,6.293243885040283,6.387800216674805,2273647.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-28,6.4298248291015625,6.35628080368042,6.387800216674805,1934563.0,5872.701,5.3,128.0,8.24,3170.5
1990-03-01,6.398305892944336,6.32476282119751,6.377294063568115,3288519.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-02,6.419319152832031,6.366787910461426,6.377294063568115,1977394.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-05,6.377294063568115,6.303750038146973,6.303750038146973,1356336.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-06,6.387800216674805,6.282738208770752,6.366787910461426,1503867.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-07,6.366787910461426,6.251218795776367,6.251218795776367,3545509.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-08,6.272231101989746,6.209194183349609,6.261724948883057,4011898.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-09,6.251218795776367,6.146155834197998,6.156662940979004,1608566.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-12,6.156662940979004,6.062106132507324,6.093625068664551,2673409.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-13,6.093625068664551,5.9570441246032715,5.9990692138671875,4622249.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-14,5.9990692138671875,5.946537971496582,5.978055953979492,4021416.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-15,5.988563060760498,5.936030864715576,5.946537971496582,1411065.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-16,5.967549800872803,5.936030864715576,5.9570441246032715,6487805.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-19,5.9990692138671875,5.9150190353393555,5.9990692138671875,2429506.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-20,6.009574890136719,5.841475009918213,5.851981163024902,5017252.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-21,5.8729939460754395,5.73641300201416,5.820463180541992,5858418.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-22,5.851981163024902,5.809956073760986,5.851981163024902,3265913.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-23,5.830968856811523,5.788943767547607,5.788943767547607,3833432.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-26,5.830968856811523,5.799449920654297,5.830968856811523,3312314.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-27,5.967549800872803,5.809956073760986,5.9570441246032715,3236169.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-28,5.9570441246032715,5.9150190353393555,5.9570441246032715,3224271.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-29,5.978055953979492,5.883500099182129,5.946537971496582,2726948.0,5872.701,5.2,128.6,8.28,3192.6
1990-03-30,6.093625068664551,5.988563060760498,6.093625068664551,4124926.0,5872.701,5.2,128.6,8.28,3192.6
1990-04-01,6.093625068664551,5.988563060760498,6.093625068664551,4124926.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-02,6.072612762451172,6.009574890136719,6.062106132507324,2385485.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-03,6.083118915557861,5.9990692138671875,6.009574890136719,3493159.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-04,6.020081043243408,5.9150190353393555,5.9150190353393555,3020821.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-05,5.9570441246032715,5.883500099182129,5.883500099182129,2469958.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-06,5.9150190353393555,5.788943767547607,5.799449920654297,3945271.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-09,5.841475009918213,5.778438091278076,5.841475009918213,2522308.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-10,5.841475009918213,5.778438091278076,5.820463180541992,4159429.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-11,5.820463180541992,5.725905895233154,5.788943767547607,2506841.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-12,5.799449920654297,5.73641300201416,5.788943767547607,3919096.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-16,5.89400577545166,5.799449920654297,5.8729939460754395,2710291.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-17,5.883500099182129,5.830968856811523,5.8729939460754395,2745985.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-18,5.883500099182129,5.788943767547607,5.809956073760986,2141582.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-19,5.830968856811523,5.76793098449707,5.76793098449707,6280785.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-20,5.788943767547607,5.683880805969238,5.715400218963623,4398572.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-23,5.683880805969238,5.5998311042785645,5.620843887329102,3183819.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-24,5.673375129699707,5.631350040435791,5.6418561935424805,1010113.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-25,5.704894065856934,5.662868976593018,5.694387912750244,1844140.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-26,5.841475009918213,5.694387912750244,5.809956073760986,1877454.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-27,5.830968856811523,5.725905895233154,5.73641300201416,2253421.0,5960.028,5.4,128.9,8.26,3219.8
1990-04-30,5.74691915512085,5.673375129699707,5.715400218963623,1812017.0,5960.028,5.4,128.9,8.26,3219.8
1990-05-01,5.73641300201416,5.683880805969238,5.704894065856934,2415229.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-02,5.799449920654297,5.715400218963623,5.788943767547607,1653778.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-03,5.86248779296875,5.788943767547607,5.86248779296875,1334920.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-04,5.883500099182129,5.851981163024902,5.86248779296875,3652588.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-07,5.904512882232666,5.8729939460754395,5.8729939460754395,1547888.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-08,5.9150190353393555,5.86248779296875,5.9150190353393555,1635931.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-09,5.9150190353393555,5.883500099182129,5.904512882232666,1403926.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-10,5.9570441246032715,5.8729939460754395,5.936030864715576,1208804.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-11,6.030588150024414,5.967549800872803,6.030588150024414,2251041.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-14,6.030588150024414,5.936030864715576,5.9570441246032715,1946460.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-15,5.9570441246032715,5.9150190353393555,5.925525188446045,2755503.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-16,5.936030864715576,5.86248779296875,5.904512882232666,2400952.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-17,5.967549800872803,5.904512882232666,5.946537971496582,2013087.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-18,5.9990692138671875,5.925525188446045,5.946537971496582,1955979.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-21,6.020081043243408,5.925525188446045,5.967549800872803,2217728.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-22,5.9990692138671875,5.904512882232666,5.967549800872803,1652588.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-23,5.946537971496582,5.925525188446045,5.936030864715576,2435455.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-24,5.978055953979492,5.89400577545166,5.9150190353393555,1735872.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-25,5.936030864715576,5.8729939460754395,5.883500099182129,1740631.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-29,5.925525188446045,5.8729939460754395,5.9150190353393555,1911957.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-30,5.988563060760498,5.936030864715576,5.978055953979492,2548483.0,5960.028,5.4,129.1,8.18,3186.7
1990-05-31,5.978055953979492,5.946537971496582,5.978055953979492,1418203.0,5960.028,5.4,129.1,8.18,3186.7
1990-06-01,6.114637851715088,5.988563060760498,6.114637851715088,3837002.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-04,6.293243885040283,6.093625068664551,6.282738208770752,4685306.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-05,6.282738208770752,6.114637851715088,6.167169094085693,2544914.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-06,6.219699859619141,6.156662940979004,6.156662940979004,4216538.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-07,6.251218795776367,6.146155834197998,6.19868803024292,3327781.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-08,6.19868803024292,6.062106132507324,6.093625068664551,3432481.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-11,6.135650157928467,6.051599979400635,6.125144004821777,2760262.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-12,6.219699859619141,6.114637851715088,6.167169094085693,2737656.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-13,6.219699859619141,6.135650157928467,6.177674770355225,1816776.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-14,6.177674770355225,6.10413122177124,6.156662940979004,1195717.0,5960.028,5.2,129.9,8.29,3210.8
1990-06-15,6.19868803024292,6.093625068664551,6.188180923461914,2405711.0,5960.028,5.2,129.9,8.29,3210.8
