Date,High,Low,Close,Volume,GDP,Unemployment,CPI,Interest_Rate,M2_Money_Supply
1990-01-01,20.0,19.75,19.875,114200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-02,20.25,19.6875,20.25,247200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-03,20.1875,19.9375,20.1875,126800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-04,20.0625,19.4375,19.6875,204200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-05,19.6875,19.375,19.5,144800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-08,19.375,19.0625,19.3125,189000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-09,19.375,19.0,19.0,109200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-10,19.25,18.75,19.1875,109400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-11,19.375,19.1875,19.25,25200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-12,19.125,18.5,18.625,180200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-15,18.75,18.4375,18.5625,84000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-16,18.875,18.4375,18.875,323800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-17,19.0,18.375,18.5,167600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-18,18.75,18.25,18.6875,155000.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-19,18.8125,18.5,18.5625,157600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-22,18.6875,18.3125,18.375,87200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-23,18.5625,18.125,18.375,88600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-24,18.5,17.9375,18.375,102800.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-25,18.5,17.875,17.875,71400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-26,18.25,17.625,18.1875,142600.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-29,18.25,17.75,18.125,53400.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-30,18.4375,17.875,18.3125,148200.0,5872.701,5.4,127.5,8.23,3170.4
1990-01-31,18.625,18.375,18.625,180000.0,5872.701,5.4,127.5,8.23,3170.4
1990-02-01,18.5625,18.375,18.5625,49200.0,5872.701,5.3,128.0,8.24,3170.5
1990-02-02,18.6875,18.3125,18.625,60800.0,5872.701,5.3,128.0,8.24,3170.5
