Trial 0 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 206, 'max_depth': 32, 'min_samples_split': 105, 'min_samples_leaf': 39, 'criterion': 'gini'}.
Trial 1 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 350, 'max_depth': 132, 'min_samples_split': 146, 'min_samples_leaf': 35, 'criterion': 'entropy'}.
Trial 2 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 121, 'max_depth': 14, 'min_samples_split': 199, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 3 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 395, 'max_depth': 142, 'min_samples_split': 97, 'min_samples_leaf': 32, 'criterion': 'gini'}.
Trial 4 finished with value: 0.6086956521739131 and parameters: {'n_estimators': 299, 'max_depth': 186, 'min_samples_split': 37, 'min_samples_leaf': 4, 'criterion': 'entropy'}.
Trial 5 finished with value: 0.6195652173913043 and parameters: {'n_estimators': 451, 'max_depth': 141, 'min_samples_split': 3, 'min_samples_leaf': 28, 'criterion': 'entropy'}.
Trial 6 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 123, 'max_depth': 152, 'min_samples_split': 61, 'min_samples_leaf': 46, 'criterion': 'entropy'}.
Trial 7 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 304, 'max_depth': 152, 'min_samples_split': 64, 'min_samples_leaf': 32, 'criterion': 'entropy'}.
Trial 8 finished with value: 0.6195652173913043 and parameters: {'n_estimators': 159, 'max_depth': 36, 'min_samples_split': 2, 'min_samples_leaf': 10, 'criterion': 'entropy'}.
Trial 9 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 377, 'max_depth': 11, 'min_samples_split': 50, 'min_samples_leaf': 11, 'criterion': 'entropy'}.
Trial 10 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 482, 'max_depth': 83, 'min_samples_split': 172, 'min_samples_leaf': 18, 'criterion': 'gini'}.
Trial 11 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 246, 'max_depth': 92, 'min_samples_split': 199, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
Trial 12 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 266, 'max_depth': 89, 'min_samples_split': 151, 'min_samples_leaf': 40, 'criterion': 'entropy'}.
Trial 13 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 238, 'max_depth': 113, 'min_samples_split': 147, 'min_samples_leaf': 40, 'criterion': 'entropy'}.
Trial 14 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 350, 'max_depth': 72, 'min_samples_split': 200, 'min_samples_leaf': 24, 'criterion': 'gini'}.
Trial 15 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 209, 'max_depth': 115, 'min_samples_split': 129, 'min_samples_leaf': 45, 'criterion': 'entropy'}.
Trial 16 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 331, 'max_depth': 195, 'min_samples_split': 182, 'min_samples_leaf': 35, 'criterion': 'entropy'}.
Trial 17 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 419, 'max_depth': 62, 'min_samples_split': 155, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 18 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 269, 'max_depth': 125, 'min_samples_split': 120, 'min_samples_leaf': 23, 'criterion': 'gini'}.
Trial 19 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 174, 'max_depth': 170, 'min_samples_split': 184, 'min_samples_leaf': 43, 'criterion': 'entropy'}.
Trial 20 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 347, 'max_depth': 99, 'min_samples_split': 164, 'min_samples_leaf': 36, 'criterion': 'entropy'}.
Trial 21 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 322, 'max_depth': 193, 'min_samples_split': 179, 'min_samples_leaf': 31, 'criterion': 'entropy'}.
Trial 22 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 263, 'max_depth': 171, 'min_samples_split': 136, 'min_samples_leaf': 35, 'criterion': 'entropy'}.
Trial 23 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 348, 'max_depth': 51, 'min_samples_split': 184, 'min_samples_leaf': 27, 'criterion': 'entropy'}.
Trial 24 finished with value: 0.6956521739130435 and parameters: {'n_estimators': 417, 'max_depth': 126, 'min_samples_split': 167, 'min_samples_leaf': 37, 'criterion': 'entropy'}.
Trial 25 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 313, 'max_depth': 170, 'min_samples_split': 190, 'min_samples_leaf': 21, 'criterion': 'entropy'}.
Trial 26 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 236, 'max_depth': 82, 'min_samples_split': 111, 'min_samples_leaf': 43, 'criterion': 'gini'}.
Trial 27 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 374, 'max_depth': 107, 'min_samples_split': 140, 'min_samples_leaf': 17, 'criterion': 'entropy'}.
Trial 28 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 290, 'max_depth': 180, 'min_samples_split': 88, 'min_samples_leaf': 29, 'criterion': 'entropy'}.
Trial 29 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 204, 'max_depth': 197, 'min_samples_split': 163, 'min_samples_leaf': 40, 'criterion': 'gini'}.
Trial 30 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 234, 'max_depth': 52, 'min_samples_split': 177, 'min_samples_leaf': 35, 'criterion': 'entropy'}.
Trial 31 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 426, 'max_depth': 62, 'min_samples_split': 158, 'min_samples_leaf': 49, 'criterion': 'entropy'}.
Trial 32 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 453, 'max_depth': 35, 'min_samples_split': 200, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 33 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 394, 'max_depth': 93, 'min_samples_split': 152, 'min_samples_leaf': 47, 'criterion': 'entropy'}.
Trial 34 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 499, 'max_depth': 72, 'min_samples_split': 188, 'min_samples_leaf': 43, 'criterion': 'entropy'}.
Trial 35 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 328, 'max_depth': 132, 'min_samples_split': 92, 'min_samples_leaf': 50, 'criterion': 'entropy'}.
Trial 36 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 419, 'max_depth': 155, 'min_samples_split': 134, 'min_samples_leaf': 46, 'criterion': 'entropy'}.
Trial 37 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 371, 'max_depth': 55, 'min_samples_split': 172, 'min_samples_leaf': 33, 'criterion': 'gini'}.
Trial 38 finished with value: 0.7065217391304348 and parameters: {'n_estimators': 282, 'max_depth': 28, 'min_samples_split': 119, 'min_samples_leaf': 38, 'criterion': 'entropy'}.
Trial 39 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 293, 'max_depth': 26, 'min_samples_split': 110, 'min_samples_leaf': 39, 'criterion': 'entropy'}.
Trial 40 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 277, 'max_depth': 23, 'min_samples_split': 78, 'min_samples_leaf': 30, 'criterion': 'entropy'}.
